Marca,Total,Em promo,>=40%,>=50%,>=60%,>=70%
"Braé",853,832,468,198,57,22
"Wella",926,880,448,164,12,0
"Truss",865,833,257,140,5,0
"Vult",312,296,207,114,33,3
"Revlon",218,188,127,63,4,2
"CARE",710,506,205,61,7,4
"Contém1g",466,276,120,57,2,1
"Amend",362,272,144,54,5,0
"L'Oréal Professionnel",296,265,113,49,2,0
"Quem Disse, Berenice?",614,215,73,47,5,2
"Océane",416,373,143,31,6,0
"Ricca",280,90,36,26,4,0
"Widi Care",291,164,71,25,0,0
"Eudora",907,423,72,22,0,0
"Creamy",253,231,155,20,0,0
"Lola From Rio",191,157,62,17,2,0
"Redken",146,114,54,17,1,0
"Bruna Tavares",218,175,25,16,2,1
"Sebastian",162,133,24,15,7,1
"Blant",48,32,25,12,0,0
"Mari Maria",275,227,39,12,5,0
"Nina Makeup",175,130,20,12,0,0
"Boca Rosa",293,152,23,8,1,0
"Niina Secrets",222,114,10,8,0,0
"Make B.",289,71,8,6,4,0
"Payot",216,198,81,6,0,0
"Catharine Hill",238,192,21,5,3,0
"Essence",395,229,15,5,5,0
"Granado",279,239,47,5,0,0
"Pink21",85,11,5,5,0,0
"Skelt",62,52,27,5,3,3
"Bauny",168,96,9,4,0,0
"Estée Lauder",113,21,4,4,4,0
"Sisley",175,68,4,4,2,0
"Giovanna Baby",180,42,6,3,3,3
"Inoar",295,148,6,3,1,1
"Kamaleão Color",128,70,33,3,1,1
"MAC",557,194,3,3,3,0
"Ruby Kisses",257,176,5,3,2,1
"Clinique",226,50,2,2,2,0
"Makiê",39,36,14,2,0,0
"O Boticário",710,142,5,2,2,0
"Vichy",138,122,2,2,0,0
"CeraVe",34,33,1,1,1,0
"Clarins",41,25,1,1,1,0
"Dapop",30,3,1,1,0,0
"Darrow",101,86,1,1,0,0
"Eucerin",61,53,2,1,0,0
"Fran by Franciny Ehlke",105,94,34,1,0,0
"Lancôme",258,123,4,1,1,0
"Macrilan",474,368,6,1,0,0
"Natura",9,8,3,1,0,0
"Neutrogena",100,99,10,1,1,1
"OPI",63,63,11,1,0,0
"Pam by Pamella",18,18,4,1,0,0
"Phállebeauty",142,97,4,1,0,0
"Real Techniques",60,53,2,1,0,0
"Ruby Rose",905,253,29,1,0,0
"Salon Line",435,65,1,1,1,0
"Shiseido",130,33,1,1,1,0
"Taiff",146,110,29,1,0,0
"Vizzela",351,55,2,1,0,0
"Aura Beauty",28,10,0,0,0,0
"Belas Garden",0,0,0,0,0,0
"Bioderma",113,99,0,0,0,0
"Bioré",47,44,0,0,0,0
"BM Beauty",13,0,0,0,0,0
"Carolina Herrera",170,125,1,0,0,0
"Catrice",97,59,0,0,0,0
"Dailus",248,92,4,0,0,0
"Dior",372,19,0,0,0,0
"Dove",141,61,1,0,0,0
"Dudah!",0,0,0,0,0,0
"Fenzza",102,19,0,0,0,0
"Garnier",69,48,0,0,0,0
"Giorgio Armani",131,97,4,0,0,0
"Givenchy",162,12,0,0,0,0
"Guerlain",273,12,0,0,0,0
"Hada Labo",32,30,0,0,0,0
"Head & Shoulders",8,3,0,0,0,0
"Hits",40,13,2,0,0,0
"Impala",248,6,0,0,0,0
"Isdin",84,80,5,0,0,0
"Kérastase",197,195,21,0,0,0
"Kiko Milano",0,0,0,0,0,0
"Klasme",18,14,0,0,0,0
"La Roche-Posay",120,114,1,0,0,0
"L'Oréal Paris",195,159,12,0,0,0
"LP Beauty",4,3,0,0,0,0
"Luisance",161,55,0,0,0,0
"Mahav",37,9,0,0,0,0
"Mascavo",131,35,1,0,0,0
"Maybelline",137,137,1,0,0,0
"Melano CC",7,7,0,0,0,0
"Melu",253,66,1,0,0,0
"Mia Make",102,10,1,0,0,0
"Miss Frandy",33,0,0,0,0,0
"Miss Lary",17,4,2,0,0,0
"Missha",7,2,0,0,0,0
"Nivea",300,254,6,0,0,0
"Nouf",30,12,0,0,0,0
"Pantene",93,46,1,0,0,0
"Petrizi",38,37,0,0,0,0
"Principia",191,136,0,0,0,0
"Rabanne",145,127,1,0,0,0
"Risqué",129,2,0,0,0,0
"Rom&nd",1,0,0,0,0,0
"Sallve",69,37,0,0,0,0
"Skinceuticals",27,26,0,0,0,0
"Tangle Teezer",47,41,20,0,0,0
"Too Faced",178,45,0,0,0,0